Unnamed: 0,type,latitude,longitude,altitude (ft),course,slope (%),distance (mi),distance_interval (ft),name,desc,is_curve,speed,add_curve,remove_curve
0,T,37.0003143,-86.3701873,512.3,,,0.0,,1117103224-60153,Length: 5.049 km (3.137 mi),False,40,False,False
1,T,37.0003047,-86.3702061,512.4,237.4,2.8,0.001,6.51,,,False,40,False,False
2,T,37.0002993,-86.3702195,512.5,243.2,2.4,0.002,4.38,,,False,40,False,False
3,T,37.0002961,-86.3702343,512.6,254.9,1.6,0.003,4.48,,,False,40,False,False
4,T,37.000294,-86.3702517,512.7,261.4,1.1,0.004,5.14,,,False,40,False,False
5,T,37.0002918,-86.3702678,512.7,260.3,1.1,0.005,4.77,,,False,40,False,False
6,T,37.0002918,-86.3702839,512.8,270.0,0.5,0.006,4.7,,,False,40,False,False
7,T,37.0002908,-86.3703026,512.8,266.2,0.7,0.007,5.47,,,False,40,False,False
8,T,37.0002908,-86.3703187,512.8,270.0,0.4,0.008,4.7,,,False,40,False,False
9,T,37.0002908,-86.3703362,512.8,270.0,0.4,0.009,5.11,,,False,40,False,False
10,T,37.0002897,-86.3703536,512.9,265.5,0.8,0.01,5.1,,,False,40,False,False
11,T,37.0002897,-86.370371,512.9,270.0,0.5,0.01,5.08,,,False,40,False,False
12,T,37.0002897,-86.3703871,512.9,270.0,0.4,0.011,4.7,,,False,40,False,False
13,T,37.0002875,-86.3704046,513.0,261.1,1.0,0.012,5.17,,,False,40,False,False
14,T,37.0002886,-86.3704193,513.0,275.4,0.5,0.013,4.31,,,False,40,False,False
15,T,37.0002886,-86.3704368,513.1,270.0,2.4,0.014,5.11,,,False,40,False,False
16,T,37.0002886,-86.3704542,513.2,270.0,2.3,0.015,5.08,,,False,40,False,False
17,T,37.0002897,-86.3704716,513.3,274.5,2.1,0.016,5.1,,,False,40,False,False
18,T,37.0002918,-86.3704864,513.4,280.1,1.8,0.017,4.39,,,False,40,False,False
19,T,37.000294,-86.3705025,513.5,279.7,1.9,0.018,4.77,,,False,40,False,False
20,T,37.0002961,-86.3705159,513.6,281.1,1.9,0.019,3.99,,,False,40,False,False
21,T,37.0003004,-86.3705293,513.6,291.9,1.2,0.019,4.21,,,False,40,False,False
22,T,37.0003058,-86.370544,513.7,294.7,1.3,0.02,4.72,,,False,40,False,False
23,T,37.0003079,-86.3705561,513.8,282.3,2.0,0.021,3.62,,,False,40,False,False
24,T,37.00031,-86.3705709,513.9,280.1,2.2,0.022,4.39,,,False,40,False,False
25,T,37.0003122,-86.3705829,513.9,282.9,2.1,0.022,3.59,,,False,40,False,False
26,T,37.0003165,-86.370599,514.0,288.5,1.9,0.023,4.96,,,False,40,False,False
27,T,37.0003207,-86.3706084,514.1,299.2,1.5,0.024,3.14,,,False,40,False,False
28,T,37.000324,-86.3706218,514.2,287.1,2.2,0.025,4.09,,,False,40,False,False
29,T,37.0003282,-86.3706326,514.2,296.0,1.9,0.025,3.51,,,False,40,False,False
30,T,37.0003304,-86.370646,514.3,281.6,2.5,0.026,3.99,,,False,40,False,False
31,T,37.0003336,-86.370658,514.4,288.5,2.3,0.027,3.69,,,False,40,False,False
32,T,37.0003379,-86.3706715,514.5,291.7,2.3,0.028,4.24,,,False,40,False,False
33,T,37.0003422,-86.3706808,514.6,300.1,2.0,0.028,3.13,,,False,40,False,False
34,T,37.0003475,-86.3706916,514.7,301.6,2.1,0.029,3.7,,,True,40,False,False
35,T,37.0003518,-86.370705,514.7,291.9,1.5,0.03,4.21,,,True,39,False,False
36,T,37.0003572,-86.3707157,514.8,302.3,1.1,0.03,3.69,,,True,38,False,False
37,T,37.0003604,-86.3707291,514.8,286.6,1.4,0.031,4.08,,,True,37,False,False
38,T,37.0003657,-86.3707439,514.9,294.2,1.2,0.032,4.73,,,True,36,False,False
